x, f(x): 
1, 1
2, 2
3, 5
4, 6
5, 11
6, 14
7, 21
8, 22
9, 31
10, 36
11, 47
12, 50
13, 63
14, 70
15, 85
16, 86
17, 103
18, 112
19, 131
20, 136
21, 157
22, 168
23, 191
24, 194
25, 219
26, 232
27, 259
28, 266
29, 295
30, 310
31, 341
32, 342
33, 375
34, 392
35, 427
36, 436
37, 473
38, 492
39, 531
40, 536
41, 577
42, 598
43, 641
44, 652
45, 697
46, 720
47, 767
48, 770
49, 819
50, 844
51, 895
52, 908
53, 961
54, 988
55, 1043
56, 1050
57, 1107
58, 1136
59, 1195
60, 1210
61, 1271
62, 1302
63, 1365
64, 1366
65, 1431
66, 1464
67, 1531
68, 1548
69, 1617
70, 1652
71, 1723
72, 1732
73, 1805
74, 1842
75, 1917
76, 1936
77, 2013
78, 2052
79, 2131
80, 2136
81, 2217
82, 2258
83, 2341
84, 2362
85, 2447
86, 2490
87, 2577
88, 2588
89, 2677
90, 2722
91, 2813
92, 2836
93, 2929
94, 2976
95, 3071
96, 3074
97, 3171
98, 3220
99, 3319
100, 3344
101, 3445
102, 3496
103, 3599
104, 3612
105, 3717
106, 3770
107, 3877
108, 3904
109, 4013
110, 4068
111, 4179
112, 4186
113, 4299
114, 4356
115, 4471
116, 4500
117, 4617
118, 4676
119, 4795
120, 4810
121, 4931
122, 4992
123, 5115
124, 5146
125, 5271
126, 5334
127, 5461
128, 5462
129, 5591
130, 5656
131, 5787
132, 5820
133, 5953
134, 6020
135, 6155
136, 6172
137, 6309
138, 6378
139, 6517
140, 6552
141, 6693
142, 6764
143, 6907
144, 6916
145, 7061
146, 7134
147, 7281
148, 7318
149, 7467
150, 7542
151, 7693
152, 7712
153, 7865
154, 7942
155, 8097
156, 8136
157, 8293
158, 8372
159, 8531
160, 8536
161, 8697
162, 8778
163, 8941
164, 8982
165, 9147
166, 9230
167, 9397
168, 9418
169, 9587
170, 9672
171, 9843
172, 9886
173, 10059
174, 10146
175, 10321
176, 10332
177, 10509
178, 10598
179, 10777
180, 10822
181, 11003
182, 11094
183, 11277
184, 11300
185, 11485
186, 11578
187, 11765
188, 11812
189, 12001
190, 12096
191, 12287
192, 12290
193, 12483
194, 12580
195, 12775
196, 12824
197, 13021
198, 13120
199, 13319
200, 13344
